"","site","collection_date","YYYYMMDD","quadrat","plant","rhi_length","node1","node2","node3","node4","node5","leaf_length1","leaf_length2","leaf_length3","leaf_length4","leaf_length5","leaf_length6","leaf_length7","leaf_length8","leaf_length9","leaf_length10","leaf_width1","leaf_width2","leaf_width3","leaf_width4","leaf_width5","leaf_width6","leaf_width7","leaf_width8","leaf_width9","leaf_width10","rhi_mass_fw","shoot_mass_fw","xs_shoot_mass_fw","iso_count","iso_fw","gamm_amph_count","gamm_amph_fw","caprel_count","caprel_fw","limpet_count","limpet_fw","gastropod_count","gastropod_fw","crab_count","crab_fw","polychaete_count","other_animal_notes","notes","epiphyte_mass_dw","rhi_mass_dw","shoot_mass_dw","xs_shoot_mass_dw","xs_pad_mass_dw","iso_mass_dw","gamm_amph_mass_dw","caprel_mass_dw","limpet_mass_dw","gastropod_mass_dw","crab_mass_dw","leaf_area1","na.rm","leaf_area2","leaf_area3","leaf_area4","leaf_area5","leaf_area6","leaf_area7","leaf_area8","leaf_area9","leaf_area10","tot_leaf_area","mean_canopy_height"
"11","2017_H_01","29/4/17",20170429,"3","1",3,0.4,0.3,0.2,0.2,0.3,13.4,3.9,5.4,9.6,8.9,4.4,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA,NA,NA,0.2338,0.1033,1.3837,NA,NA,4,0.0152,1,0.0086,1,0.0064,NA,"",NA,NA,NA,"","",0.00900000000000001,0.024,0.0164,0.1738,NA,NA,0.00190000000000001,0.00159999999999999,0.002,NA,NA,2.68,TRUE,0.78,1.08,1.92,1.78,0.88,NA,NA,NA,NA,9.12,7.6
"12","2017_H_01","29/4/17",20170429,"3","2",5,0.5,0.6,0.4,0.4,0.2,22.7,21.7,11.5,26.8,15,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,NA,0.3512,0.4314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00600000000000001,0.0442,0.0621,NA,NA,NA,NA,NA,NA,NA,NA,6.81,TRUE,6.51,3.45,8.04,3,NA,NA,NA,NA,NA,27.81,19.54
"13","2017_H_01","29/4/17",20170429,"3","3",5,0.4,0.4,0.3,0.2,0.2,19.8,15.1,22.8,6.6,14.9,NA,NA,NA,NA,NA,0.2,0.2,0.3,0.2,0.2,NA,NA,NA,NA,NA,0.3372,0.2744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0092000000000001,0.0365,0.0415,NA,NA,NA,NA,NA,NA,NA,NA,3.96,TRUE,3.02,6.84,1.32,2.98,NA,NA,NA,NA,NA,18.12,15.84
"14","2017_H_01","29/4/17",20170429,"3","4",5,0.8,0.4,0.3,0.3,0.2,26.2,9.6,19.2,21.5,15.5,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.3,0.3,NA,NA,NA,NA,NA,0.3248,0.3689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0092000000000001,0.0355,0.0567,NA,NA,NA,NA,NA,NA,NA,NA,5.24,TRUE,2.88,5.76,6.45,4.65,NA,NA,NA,NA,NA,24.98,18.4
"15","2017_H_01","29/4/17",20170429,"3","5",2,0.1,0.1,0.1,0.2,0.1,8.9,8.1,7,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,0.0548,0.0432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0091,0.00739999999999996,0.0072000000000001,NA,NA,NA,NA,NA,NA,NA,NA,1.78,TRUE,1.62,1.4,NA,NA,NA,NA,NA,NA,NA,4.8,8
"16","2017_H_01","29/4/17",20170429,"4","1",4.7,0.6,0.3,0.3,0.2,0.2,14.2,7.5,15.4,16.7,4.9,NA,NA,NA,NA,NA,0.3,0.3,0.2,0.2,0.2,NA,NA,NA,NA,NA,0.2116,0.1886,2.9363,NA,NA,10,0.0232,NA,NA,NA,NA,NA,"",NA,NA,4,"2 barnacels, 1 mussel","",0.00570000000000004,0.029,0.0315,0.2982,NA,NA,0.00309999999999999,NA,NA,NA,NA,4.26,TRUE,2.25,3.08,3.34,0.98,NA,NA,NA,NA,NA,13.91,11.74
"17","2017_H_01","29/4/17",20170429,"4","2",3.4,0.4,0.2,0.3,0.3,0.1,16.1,6.3,10.6,13.3,12.1,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,0.1841,0.1634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00560000000000005,0.0175,0.0248,NA,NA,NA,NA,NA,NA,NA,NA,4.83,TRUE,1.26,2.12,2.66,2.42,NA,NA,NA,NA,NA,13.29,11.68
"18","2017_H_01","29/4/17",20170429,"4","3",3.1,0.3,0.2,0.1,0.3,0.2,4.1,16.8,7,12.2,15.5,11.9,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA,NA,NA,0.1562,0.1791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00469999999999993,0.0268,0.0283,NA,NA,NA,NA,NA,NA,NA,NA,0.82,TRUE,3.36,1.4,2.44,3.1,2.38,NA,NA,NA,NA,13.5,11.25
"19","2017_H_01","29/4/17",20170429,"4","4",5,0.4,0.5,0.2,0.3,0.2,18.5,25.7,21,10.5,5.1,26.2,NA,NA,NA,NA,0.2,0.2,0.3,0.3,0.2,0.3,NA,NA,NA,NA,0.3899,0.4021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.005,0.0481,0.0618000000000001,NA,NA,NA,NA,NA,NA,NA,NA,3.7,TRUE,5.14,6.3,3.15,1.02,7.86,NA,NA,NA,NA,27.17,17.8333333333333
"20","2017_H_01","29/4/17",20170429,"4","5",4.9,0.5,0.4,0.4,0.3,0.2,26.7,18.6,10.3,17.4,20.5,NA,NA,NA,NA,NA,0.3,0.2,0.3,0.3,0.2,NA,NA,NA,NA,NA,0.25,0.3991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00700000000000001,0.0275,0.0468,NA,NA,NA,NA,NA,NA,NA,NA,8.01,TRUE,3.72,3.09,5.22,4.1,NA,NA,NA,NA,NA,24.14,18.7
"21","2017_H_01","29/4/17",20170429,"5","1",5,0.6,0.6,0.5,0.4,0.3,29.2,25,21.1,17.1,10.5,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.2,0.3,NA,NA,NA,NA,NA,0.3108,0.3808,0.9561,NA,NA,9,0.0245,NA,NA,1,0.0038,NA,"",NA,NA,2,"","",0.00629999999999997,0.0426,0.0597,0.1309,NA,NA,0.00239999999999996,NA,9.9999999999989e-05,NA,NA,8.76,TRUE,7.5,6.33,3.42,3.15,NA,NA,NA,NA,NA,29.16,20.58
"22","2017_H_01","29/4/17",20170429,"5","2",5,0.6,1,0.8,0.6,0.6,27,24.9,12.9,24.3,23.1,5.5,NA,NA,NA,NA,0.3,0.4,0.4,0.4,0.2,0.3,NA,NA,NA,NA,0.4017,0.5666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0069999999999999,0.0529,0.0815,NA,NA,NA,NA,NA,NA,NA,NA,8.1,TRUE,9.96,5.16,9.72,4.62,1.65,NA,NA,NA,NA,39.21,19.6166666666667
"23","2017_H_01","29/4/17",20170429,"5","3",4.1,0.5,0.4,0.2,0.1,0.1,19.9,16.1,13.9,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,0.2006,0.1513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00580000000000003,0.0251,0.0215,NA,NA,NA,NA,NA,NA,NA,NA,3.98,TRUE,3.22,2.78,NA,NA,NA,NA,NA,NA,NA,9.98,16.6333333333333
"24","2017_H_01","29/4/17",20170429,"5","4",5,0.5,1.1,0.9,0.4,0.3,29.5,10.4,25.4,21.6,30.6,NA,NA,NA,NA,NA,0.4,0.4,0.3,0.4,0.4,NA,NA,NA,NA,NA,0.3726,0.4556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00729999999999997,0.057,0.0743,NA,NA,NA,NA,NA,NA,NA,NA,11.8,TRUE,4.16,7.62,8.64,12.24,NA,NA,NA,NA,NA,44.46,23.5
"25","2017_H_01","29/4/17",20170429,"5","5",5,0.5,0.5,0.2,0.3,0.2,11,13,19.1,4.2,8.8,16,NA,NA,NA,NA,0.2,0.2,0.3,0.2,0.2,0.2,NA,NA,NA,NA,0.3574,0.2459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00540000000000007,0.057,0.0381999999999999,NA,NA,NA,NA,NA,NA,NA,NA,2.2,TRUE,2.6,5.73,0.84,1.76,3.2,NA,NA,NA,NA,16.33,12.0166666666667
"26","2017_H_01","29/4/17",20170429,"6","1",4.5,0.5,0.4,0.4,0.2,0.2,21.2,15,15.5,10.3,19.6,NA,NA,NA,NA,NA,0.2,0.2,0.3,0.3,0.3,NA,NA,NA,NA,NA,0.318,0.3326,1.0927,NA,NA,9,0.146,1,0.0047,NA,NA,NA,"",NA,NA,4,"","",0.00869999999999993,0.0297,0.0454,0.1245,NA,NA,0.00190000000000001,0.00150000000000006,NA,NA,NA,4.24,TRUE,3,4.65,3.09,5.88,NA,NA,NA,NA,NA,20.86,16.32
"27","2017_H_01","29/4/17",20170429,"6","2",5,0.9,0.8,0.6,0.4,0.3,24.2,21.1,4.2,12.6,25,21.1,NA,NA,NA,NA,0.3,0.4,0.3,0.4,0.3,0.2,NA,NA,NA,NA,0.6342,0.5209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00669999999999993,0.0827000000000001,0.0723,NA,NA,NA,NA,NA,NA,NA,NA,7.26,TRUE,8.44,1.26,5.04,7.5,4.22,NA,NA,NA,NA,33.72,18.0333333333333
"28","2017_H_01","29/4/17",20170429,"6","3",3.6,0.5,0.5,0.4,0.2,0.2,27.2,22.6,11.2,28,20.3,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,NA,NA,NA,NA,NA,0.3379,0.5104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0091,0.0343,0.0734,NA,NA,NA,NA,NA,NA,NA,NA,8.16,TRUE,6.78,3.36,8.4,6.09,NA,NA,NA,NA,NA,32.79,21.86
"29","2017_H_01","29/4/17",20170429,"6","4",1.5,0.3,0.5,0.2,0.3,NA,12.6,19.9,13,6,16.5,12.5,NA,NA,NA,NA,0.2,0.3,0.2,0.3,0.3,0.2,NA,NA,NA,NA,0.118,0.2837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00540000000000002,0.0170999999999999,0.0394,NA,NA,NA,NA,NA,NA,NA,NA,2.52,TRUE,5.97,2.6,1.8,4.95,2.5,NA,NA,NA,NA,20.34,13.4166666666667
"30","2017_H_01","29/4/17",20170429,"6","5",4.9,1,0.6,0.3,0.2,0.2,13.1,18.7,7.7,29.1,18.1,7.5,24,21.5,NA,NA,0.3,0.2,0.2,0.4,0.4,0.3,0.3,0.3,NA,NA,0.4415,0.6256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0105000000000001,0.0401,0.0872999999999999,NA,NA,NA,NA,NA,NA,NA,NA,3.93,TRUE,3.74,1.54,11.64,7.24,2.25,7.2,6.45,NA,NA,43.99,17.4625
"31","2017_H_01","29/4/17",20170429,"7","1",4.6,0.5,0.3,0.3,0.2,0.3,18.8,14.6,13.9,11.6,12.1,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.2,0.2,NA,NA,NA,NA,NA,0.2676,0.2809,1.4632,NA,NA,13,0.03,NA,NA,NA,NA,NA,"",NA,NA,2,"","",0.00770000000000004,0.0325000000000001,0.0401,0.1833,NA,NA,0.003,NA,NA,NA,NA,3.76,TRUE,4.38,4.17,2.32,2.42,NA,NA,NA,NA,NA,17.05,14.2
"32","2017_H_01","29/4/17",20170429,"7","2",4.7,0.5,0.2,0.2,0.1,0.1,13.5,8.2,10.4,13.8,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,0.1452,0.1198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00850000000000006,0.0169999999999999,0.0180999999999999,NA,NA,NA,NA,NA,NA,NA,NA,2.7,TRUE,1.64,2.08,2.76,NA,NA,NA,NA,NA,NA,9.18,11.475
"33","2017_H_01","29/4/17",20170429,"7","3",4.6,0.5,0.4,0.3,0.2,0.2,15.9,18.2,6.7,12,16.9,4.6,13,5.9,NA,NA,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,NA,NA,0.276,0.3245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00849999999999995,0.0309,0.0492,NA,NA,NA,NA,NA,NA,NA,NA,3.18,TRUE,5.46,1.34,2.4,5.07,0.92,2.6,1.18,NA,NA,22.15,11.65
"34","2017_H_01","29/4/17",20170429,"7","4",5,0.6,0.6,0.4,0.3,0.1,17.3,25,12.7,20.2,21.5,3.9,NA,NA,NA,NA,0.3,0.4,0.4,0.4,0.3,0.3,NA,NA,NA,NA,0.3068,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0081,0.0370999999999999,0.0670000000000001,NA,NA,NA,NA,NA,NA,NA,NA,5.19,TRUE,10,5.08,8.08,6.45,1.17,NA,NA,NA,NA,35.97,16.7666666666667
"35","2017_H_01","29/4/17",20170429,"7","5",5,0.9,0.5,0.5,0.4,0.3,21.4,6.8,19.9,11.4,23.3,NA,NA,NA,NA,NA,0.4,0.2,0.4,0.4,0.4,NA,NA,NA,NA,NA,0.6455,0.4673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00919999999999999,0.0726,0.0595,NA,NA,NA,NA,NA,NA,NA,NA,8.56,TRUE,1.36,7.96,4.56,9.32,NA,NA,NA,NA,NA,31.76,16.56
"36","2017_H_01","29/4/17",20170429,"8","1",4.5,0.4,0.5,0.3,0.2,0.2,15.6,20.3,15.6,8.1,4.8,18.4,13,9.6,6.8,NA,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,NA,0.5456,0.3757,0.7293,NA,NA,1,0.0012,NA,NA,NA,NA,NA,"",NA,NA,4,"","",0.0089999999999999,0.0873,0.0650999999999999,0.1027,NA,NA,0.000199999999999978,NA,NA,NA,NA,3.12,TRUE,6.09,4.68,1.62,0.96,3.68,2.6,1.92,1.36,NA,26.03,12.4666666666667
"37","2017_H_01","29/4/17",20170429,"8","2",2.6,0.2,0.2,0.2,0.2,0.7,7.1,7,4.3,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,0.1046,0.0293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00790000000000002,0.0149,0.00419999999999998,NA,NA,NA,NA,NA,NA,NA,NA,0.71,TRUE,0.7,0.43,NA,NA,NA,NA,NA,NA,NA,1.84,6.13333333333333
"38","2017_H_01","29/4/17",20170429,"8","3",5,0.6,0.2,0.2,0.2,0.2,17.4,18.3,11.5,5.2,15.8,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,0.2469,0.2143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00869999999999993,0.0396,0.0304000000000001,NA,NA,NA,NA,NA,NA,NA,NA,3.48,TRUE,3.66,2.3,1.04,3.16,NA,NA,NA,NA,NA,13.64,13.64
"39","2017_H_01","29/4/17",20170429,"8","4",3.2,0.6,0.4,0.4,0.2,0.2,15.5,7.7,23.4,13.5,3.1,20.7,17.2,NA,NA,NA,0.2,0.2,0.3,0.3,0.3,0.2,0.2,NA,NA,NA,0.2758,0.3755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00780000000000003,0.0355,0.0515,NA,NA,NA,NA,NA,NA,NA,NA,3.1,TRUE,1.54,7.02,4.05,0.93,4.14,3.44,NA,NA,NA,24.22,14.4428571428571
"40","2017_H_01","29/4/17",20170429,"8","5",3.1,0.5,0.5,0.5,0.5,0.4,16.2,20.4,10,2.9,16.4,17.1,NA,NA,NA,NA,0.2,0.3,0.3,0.2,0.3,0.2,NA,NA,NA,NA,0.3739,0.3103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.01,0.0516,0.0531,NA,NA,NA,NA,NA,NA,NA,NA,3.24,TRUE,6.12,3,0.58,4.92,3.42,NA,NA,NA,NA,21.28,13.8333333333333
"41","2017_H_02","28/5/17",20170528,"1","1",5,1.2,0.9,0.6,0.7,0.3,41.2,43.6,33.8,16,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,0.9978,0.9934,9.4056,NA,NA,1,7e-04,NA,NA,2,0.0222,NA,"",NA,NA,5,"","",0.00969999999999993,0.1062,0.1341,1.1374,NA,NA,0.000200000000000033,NA,0.00720000000000004,NA,NA,16.48,TRUE,17.44,13.52,6.4,NA,NA,NA,NA,NA,NA,53.84,33.65
"42","2017_H_02","28/5/17",20170528,"1","2",5,0.6,1.5,1.2,0.7,0.3,40,35.4,21.2,49.4,33.8,NA,NA,NA,NA,NA,0.4,0.5,0.5,0.5,0.4,NA,NA,NA,NA,NA,0.8263,1.4112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0131,0.1207,0.1945,NA,NA,NA,NA,NA,NA,NA,NA,16,TRUE,17.7,10.6,24.7,13.52,NA,NA,NA,NA,NA,82.52,35.96
"43","2017_H_02","28/5/17",20170528,"1","3",5,1.2,0.2,0.3,0.1,0.1,9.1,37.2,33.8,14.5,42.4,30.2,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.3,NA,NA,NA,NA,0.4705,1.0521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00969999999999993,0.0506,0.1472,NA,NA,NA,NA,NA,NA,NA,NA,3.64,TRUE,14.88,13.52,5.8,16.96,9.06,NA,NA,NA,NA,63.86,27.8666666666667
"44","2017_H_02","28/5/17",20170528,"1","4",5,0.9,0.6,0.6,0.1,0.1,34.8,42.2,8.5,34.4,43.2,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.5,0.4,NA,NA,NA,NA,NA,0.7994,1.1844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0105,0.0901999999999998,0.1474,NA,NA,NA,NA,NA,NA,NA,NA,13.92,TRUE,16.88,3.4,17.2,17.28,NA,NA,NA,NA,NA,68.68,32.62
"45","2017_H_02","28/5/17",20170528,"1","5",5,1.7,1.3,1,0.5,NA,47.2,52.4,24.7,43.6,NA,NA,NA,NA,NA,NA,0.4,0.4,0.5,0.5,NA,NA,NA,NA,NA,NA,0.8314,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00950000000000006,0.0869,0.2223,NA,NA,NA,NA,NA,NA,NA,NA,18.88,TRUE,20.96,12.35,21.8,NA,NA,NA,NA,NA,NA,73.99,41.975
"46","2017_H_02","28/5/17",20170528,"2","1",5,0.6,1.2,0.7,0.7,0.4,45.8,27.4,5.3,53.4,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,0.8333,1.2226,11.738,NA,NA,NA,NA,NA,NA,6,0.0456,NA,"",NA,NA,4,"5 bivalves","",0.00700000000000001,0.0831,0.1552,1.1773,NA,NA,NA,NA,0.0118,NA,NA,18.32,TRUE,10.96,2.12,21.36,NA,NA,NA,NA,NA,NA,52.76,32.975
"47","2017_H_02","28/5/17",20170528,"2","2",5,1,1.3,1,0.7,0.5,35.8,53,29.3,9.7,47.8,47.6,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,0.8278,1.6244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00980000000000003,0.0952999999999999,0.2142,NA,NA,NA,NA,NA,NA,NA,NA,14.32,TRUE,21.2,11.72,3.88,19.12,19.04,NA,NA,NA,NA,89.28,37.2
"48","2017_H_02","28/5/17",20170528,"2","3",3.8,1.6,0.9,0.5,0.5,NA,38.6,50.2,20.2,43,55.2,NA,NA,NA,NA,NA,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,1.0938,1.4953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0105,0.1102,0.2109,NA,NA,NA,NA,NA,NA,NA,NA,11.58,TRUE,20.08,8.08,17.2,22.08,NA,NA,NA,NA,NA,79.02,41.44
